latitude;longitude;shape_id
45.0434608;41.9688796;1
45.0434726;41.9688907;1
45.0434879;41.9688906;1
45.0435057;41.9689031;1
45.0435408;41.9689335;1
45.0435835;41.9689819;1
45.0436744;41.9691012;1
45.0437221;41.9691994;1
45.043736;41.9692545;1
45.0437414l;41.9692975;1
45.0437345;41.9693806;1
45.0437238;41.9694281;1
45.0436952;41.969472;1
45.0436739;41.9694913;1
45.0436307;41.9695047;1
45.0435836;41.9694901;1
45.0435579;41.9694712;1
45.0435276;41.9694358;1
45.0434985;41.9693949;1
45.0434777;41.9693511;1
45.0434559;41.9692627;1
45.0434583;41.9691908;1
45.0434384;41.9689628;1
45.0434382;41.9689192;1
45.0434608;41.9688796;1
45.0433826;41.9688548;2
45.0432873;41.9690222;2
45.0432744;41.9690131;2
45.043245;41.9690979;2
45.0431922;41.9692084;2
45.0431801;41.9692547;2
45.0431667;41.9693945;2
45.0431732;41.9694423;2
45.0431867;41.9694942;2
45.0432151;41.9695365;2
45.0432315;41.9695469;2
45.0432838;41.9695451;2
45.0433191;41.9695235;2
45.0433496;41.9694902;2
45.0434081;41.9694111;2
45.0434702;41.969282;2
45.0434875;41.9692302;2
45.0434912;41.9691859;2
45.0434883;41.9691289;2
45.0434671;41.9689634;2
45.0434467;41.9688464;2
45.0434227;41.9687796;2
45.0434146;41.9687699;2
45.0434055;41.9687706;2
45.0433826;41.9688548;2
